Name,Potential_impacts,Cumulative_Impact_probablility,Velocity(km/s),Magnitude,Estimated_Diameter(km),Cum_Palermo_scale,Max_Palermo_scale,Start_year,End_year,Period
(2009 TB),38,5.9e-06,10.29,29.2,0.005,-5.96,-6.3,2021,2112,91
(2016 RP41),48,1.5e-08,8.17,22.5,0.11,-5.96,-6.36,2022,2114,92
(2017 UE52),55,2.4e-08,11.53,22.9,0.091,-5.96,-6.35,2022,2108,86
(2017 WL15),15,2.5e-06,17.98,25.8,0.023,-5.96,-6.47,2058,2114,56
(2020 TF6),6,1.6e-05,12.55,27.6,0.01,-5.96,-6.32,2056,2075,19
(2020 WD),6,8.9e-05,5.69,28.2,0.008,-5.96,-6.17,2055,2120,65
(2009 JL2),12,3.4e-06,12.83,26.0,0.022000000000000002,-5.97,-6.46,2057,2116,59
(2012 PB20),10,2.8e-06,4.03,24.9,0.035,-5.97,-6.58,2066,2116,50
(2018 EE9),26,6.3e-06,15.96,26.3,0.018000000000000002,-5.97,-6.11,2067,2115,48
(2020 DO2),10,6.900000000000001e-06,22.34,26.8,0.015,-5.97,-6.37,2071,2113,42
(2013 BR27),40,2.8999999999999997e-05,10.95,27.7,0.01,-5.99,-6.44,2073,2106,33
(2015 ET),11,8.900000000000001e-06,11.67,26.7,0.016,-5.99,-6.46,2076,2117,41
(2021 EO),10,2.8999999999999998e-06,7.45,25.1,0.032,-5.99,-6.52,2110,2119,9
(2020 FZ2),3,1.1e-06,22.31,25.1,0.032,-5.99,-6.23,2110,2118,8
(2020 AO1),1,9.1e-08,17.02,23.7,0.062,-6.0,-6.0,2049,2049,0
(2019 SC),1,6.1e-06,14.26,27.2,0.012,-6.0,-6.0,2051,2051,0
(2021 FM2),15,0.0003,10.85,30.1,0.003,-6.0,-6.01,2050,2079,29
(2011 UU190),5,5.400000000000001e-06,11.269625108979952,28.1,0.008,-6.01,-6.18,2025,2095,70
(2007 TL16),10,5.0999999999999995e-06,11.43,26.2,0.019,-6.02,-6.11,2074,2090,16
(2009 HS44),1,6.3e-06,18.29,26.6,0.017,-6.02,-6.02,2111,2111,0
(2014 GY44),4,1.7e-06,12.31,25.4,0.027999999999999997,-6.02,-6.28,2074,2089,15
(2016 EM156),4,5.6999999999999996e-05,8.81,27.9,0.009000000000000001,-6.03,-6.04,2108,2116,8
(2017 HJ61),9,1e-05,13.44,28.8,0.006,-6.03,-6.06,2024,2089,65
(2016 NP56),17,4.5e-06,2.18,26.2,0.019,-6.03,-6.26,2024,2113,89
(2019 BZ),18,2.7000000000000002e-05,8.62,27.6,0.01,-6.03,-6.24,2077,2119,42
(2020 UK2),7,1.6e-05,7.61,26.9,0.013999999999999999,-6.03,-6.39,2089,2109,20
(2014 SR261),8,4.6e-06,15.27,26.8,0.015,-6.04,-6.1,2058,2115,57
(2019 AH3),4,1.2e-05,18.04,28.0,0.009000000000000001,-6.04,-6.16,2060,2071,11
(2017 WF30),965,2e-06,6.63,26.4,0.018000000000000002,-6.05,-7.06,2021,2119,98
(2010 TW54),16,3.2e-05,7.78,27.6,0.01,-6.06,-6.1,2074,2115,41
(2012 BA102),7,1.2e-05,7.21,26.5,0.017,-6.06,-6.3,2104,2117,13
(2017 RC),26,4.5e-05,9.85,27.9,0.009000000000000001,-6.06,-6.49,2086,2117,31
(2016 CG18),40,8.8e-05,4.25,28.5,0.006999999999999999,-6.06,-6.4,2062,2116,54
(2020 BJ14),1,5.1e-07,10.6,24.3,0.047,-6.06,-6.06,2082,2082,0
(2021 CN5),14,2.5e-05,16.04,27.8,0.009000000000000001,-6.07,-6.32,2110,2121,11
(2020 RJ2),24,0.00025,3.55,29.2,0.005,-6.07,-6.46,2061,2119,58
(2016 LG10),4,3.2e-06,8.69,25.5,0.027000000000000003,-6.08,-6.44,2108,2108,0
(2017 SC33),2,3.6000000000000005e-10,25.18,21.1,0.21,-6.08,-6.17,2024,2029,5
(2007 UN12),8,0.00016,1.57,28.8,0.006,-6.09,-6.41,2089,2119,30
(2009 TD17),55,2.3e-05,6.57,27.7,0.01,-6.09,-6.91,2047,2110,63
(2010 VO139),217,1.6e-06,20.62,26.6,0.017,-6.09,-6.86,2022,2115,93
(2012 XM16),4,2.4e-06,12.68,25.8,0.024,-6.09,-6.17,2081,2107,26
(2019 RT3),5,1.9e-06,7.62,25.2,0.031,-6.09,-6.26,2087,2117,30
(2019 TK5),19,1.4999999999999999e-05,5.58,27.4,0.011000000000000001,-6.09,-6.22,2061,2096,35
(2013 WZ44),1,3e-06,12.56,25.7,0.025,-6.1,-6.1,2111,2111,0
(2019 BU1),2,2e-06,14.35,26.2,0.02,-6.1,-6.14,2056,2062,6
(2014 FX32),2,1.1e-06,9.05,25.1,0.033,-6.11,-6.12,2076,2108,32
(2017 YV8),26,2.3e-05,7.51,27.4,0.011000000000000001,-6.11,-6.3,2078,2117,39
(2014 WA),1,1.8e-05,9.55,28.2,0.008,-6.11,-6.11,2049,2049,0
(2015 TL21),6,3.3e-06,15.23,26.4,0.018000000000000002,-6.11,-6.56,2061,2095,34
