des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2006 WV,(2006 WV),True,False,3359094,,0.534,1.53,0.715,2.15,56.3,80.9,123,2458964.664,693,0.52,2.35
2019 FT1,(2019 FT1),True,False,3840723,,0.553,2.04,0.914,4.52,183,317,224,2459602.438,1070,0.337,3.17
2015 HM182,(2015 HM182),True,False,3720861,,0.208,1.19,0.945,2.76,221,278,48.6,2457067.322,476,0.757,1.44
2018 WG2,(2018 WG2),True,False,3836416,,0.238,1.11,0.844,0.817,63.6,80,221,2459364.478,426,0.845,1.37
2012 WQ3,(2012 WQ3),True,False,3618403,,0.769,2.37,0.548,3.26,52.4,271,13.5,2456203.570,1340,0.27,4.2
2012 YR1,(2012 YR1),True,False,3621642,,0.528,2.05,0.967,2.5,81.2,342,268,2459475.218,1070,0.336,3.13
2016 JY5,(2016 JY5),True,False,3752778,,0.211,1.09,0.858,4.63,220,278,89.3,2459097.727,414,0.869,1.32
2008 EF32,(2008 EF32),True,False,3405334,,0.522,1.63,0.778,1.74,349,112,22.2,2454489.771,759,0.475,2.48
2018 AT2,(2018 AT2),True,False,3797460,,0.479,1.87,0.974,4.06,110,344,57.5,2459051.257,934,0.386,2.77
2017 VC14,(2017 VC14),True,False,3789396,,0.568,2.05,0.885,2.46,235,225,5.88,2459182.956,1070,0.335,3.22
2011 SL189,(2011 SL189),True,False,3580323,,0.566,2.35,1.02,1.39,348,63,349,2455873.365,1320,0.273,3.68
2009 JE1,(2009 JE1),True,False,3459472,,0.294,1.37,0.965,8.03,46.2,223,335,2454996.051,584,0.616,1.77
2008 WJ14,(2008 WJ14),True,False,3439812,,0.721,3.75,1.04,10.9,237,179,0.318,2454789.159,2650,0.136,6.45
2011 CA7,(2011 CA7),True,False,3557081,,0.288,1.08,0.769,0.119,307,283,220,2459359.875,410,0.878,1.39
2021 AZ5,(2021 AZ5),True,False,54105521,,0.528,2.08,0.983,6.38,115,9.23,348,2459236.599,1100,0.328,3.18
2016 JA,(2016 JA),True,False,3752572,,0.269,1.01,0.741,0.0495,11.9,99.2,273,2459290.867,373,0.964,1.29
2002 CA26,(2002 CA26),True,False,3114032,,0.664,2.38,0.799,0.503,119,319,11.5,2452272.773,1340,0.269,3.96
2019 SX8,(2019 SX8),True,False,3873143,,0.383,1.53,0.944,4.88,186,141,248,2459414.782,691,0.521,2.12
2014 QJ365,(2014 QJ365),True,False,3684732,,0.476,1.61,0.846,1.34,155,116,23,2456850.689,749,0.48,2.38
2015 HE183,(2015 HE183),True,False,3720878,,0.618,2.19,0.836,3.12,213,300,281,2459459.176,1180,0.304,3.54
2016 UR36,(2016 UR36),True,False,3761735,,0.669,2.05,0.678,0.456,18.6,97.5,131,2458808.814,1070,0.336,3.42
2009 EJ1,(2009 EJ1),True,False,3449133,,0.475,1.6,0.84,0.0251,312,149,22,2454848.349,738,0.488,2.36
2013 RZ53,(2013 RZ53),True,False,3648046,,0.0283,1.02,0.988,2.11,343,64.7,348,2459212.973,374,0.962,1.05
2019 QD,(2019 QD),True,False,3843569,,0.653,2.35,0.814,2.99,150,238,121,2458757.829,1320,0.274,3.89
2016 AQ164,(2016 AQ164),True,False,3739965,,0.578,1.92,0.809,5.3,290,121,15.6,2457358.365,969,0.371,3.02
2019 UW7,(2019 UW7),True,False,3883099,,0.562,2.19,0.959,5.96,210,152,134,2458759.262,1180,0.305,3.42
2013 EC20,(2013 EC20),True,False,3630817,,0.121,1.11,0.978,1.3,165,33.9,205,2459385.156,429,0.839,1.25
2009 XQ2,(2009 XQ2),True,False,3483328,,0.566,1.17,0.508,6.76,271,282,315,2455235.949,462,0.779,1.83
2017 BF136,(2017 BF136),True,False,3769436,,0.498,1.1,0.55,27.7,131,112,307,2457846.781,419,0.86,1.64
2019 JZ2,(2019 JZ2),True,False,3841762,,0.617,1.41,0.542,13.8,224,257,33.8,2458554.919,614,0.587,2.28
2010 XU,(2010 XU),True,False,3552770,,0.294,1.33,0.94,0.705,324,49.3,225,2459410.598,561,0.642,1.72
2009 MG1,(2009 MG1),True,False,3463389,,0.625,2,0.751,6.79,87.9,101,19.5,2454950.503,1030,0.349,3.25
2021 BP1,(2021 BP1),True,False,54106530,,0.177,0.979,0.806,5.33,114,257,54.3,2459147.113,354,1.02,1.15
2021 AP6,(2021 AP6),True,False,54105986,,0.292,1.38,0.979,1.09,346,155,328,2459252.543,594,0.606,1.79
2020 DR4,(2020 DR4),True,False,54006023,,0.293,0.816,0.577,4.37,337,32.2,161,2459080.335,269,1.34,1.05
2014 HM198,(2014 HM198),True,False,3698540,,0.268,1.06,0.773,8.25,26.9,79.8,81.2,2456687.108,396,0.908,1.34
2007 VF189,(2007 VF189),True,False,3394754,,0.385,1.21,0.742,6.98,51.8,83.6,271,2459320.045,484,0.744,1.67
2015 HZ182,(2015 HZ182),True,False,3720873,,0.395,1.67,1.01,4.43,212,303,22.7,2457081.792,788,0.457,2.33
2017 YE7,(2017 YE7),True,False,3795128,,0.673,1.84,0.601,4.33,279,268,341,2458164.803,911,0.395,3.08
2014 HN2,(2014 HN2),True,False,3668968,,0.118,0.926,0.817,1.23,199,207,328,2459229.566,326,1.11,1.04
2016 WF7,(2016 WF7),True,False,3764727,,0.238,0.873,0.666,0.647,76.3,209,108,2459111.119,298,1.21,1.08
2019 SU1,(2019 SU1),True,False,3843919,,0.0883,1.01,0.923,7.75,353,260,173,2459022.094,372,0.968,1.1
2008 JL24,(2008 JL24),True,False,3410533,,0.107,1.04,0.928,0.551,226,282,39.3,2459158.328,386,0.932,1.15
2018 EZ2,(2018 EZ2),True,False,3799861,,0.51,1.95,0.956,4.97,174,27.4,356,2459210.285,997,0.361,2.95
2019 SU2,(2019 SU2),True,False,3844010,,0.607,2.36,0.928,0.932,179,141,131,2458719.754,1320,0.272,3.79
2021 AZ6,(2021 AZ6),True,False,54105997,,0.288,1.11,0.79,16.9,116,270,32.3,2459162.246,427,0.844,1.43
2013 VD17,(2013 VD17),True,False,3653760,,0.603,2.28,0.906,4.76,232,139,30.3,2459094.646,1260,0.286,3.66
2020 WA1,(2020 WA1),True,False,54088824,,0.722,2.53,0.703,0.0731,265,76.2,10.8,2459127.437,1470,0.245,4.35
2020 RO2,(2020 RO2),True,False,54053843,,0.553,1.69,0.754,6.08,346,287,24.1,2459052.762,801,0.449,2.62
2016 NC56,(2016 NC56),True,False,3757051,,0.617,2.17,0.832,5.54,289,297,14.7,2457534.822,1170,0.308,3.51
2018 DO3,(2018 DO3),True,False,3799773,,0.573,1.79,0.764,4.4,148,284,21.2,2458115.138,874,0.412,2.81
2012 XB112,(2012 XB112),True,False,3620672,,0.145,1.03,0.88,1.32,76.9,88.8,180,2459010.138,381,0.944,1.18
2020 YS2,(2020 YS2),True,False,54101680,,0.0757,0.964,0.891,2.73,268,70.8,97.6,2459106.757,346,1.04,1.04
2020 OX4,(2020 OX4),True,False,54049793,,0.656,2.17,0.746,4.6,120,105,61.3,2459002.046,1170,0.309,3.59
2020 VT3,(2020 VT3),True,False,54087760,,0.357,1.3,0.835,0.621,251,229,348,2459218.618,541,0.666,1.76
2014 AG51,(2014 AG51),True,False,3655973,,0.591,1.88,0.767,0.0918,145,258,268,2459439.336,938,0.384,2.98
2020 SM2,(2020 SM2),True,False,54054530,,0.205,1.2,0.951,1.15,359,49,32.6,2459157.223,478,0.754,1.44
2005 WN3,(2005 WN3),True,False,3304561,,0.726,2.49,0.682,0.484,243,256,349,2453742.951,1430,0.251,4.29
2017 UJ2,(2017 UJ2),True,False,3787600,,0.184,1.12,0.916,0.525,28.3,297,281,2459295.727,434,0.83,1.33
2016 FF14,(2016 FF14),True,False,3748494,,0.486,1.75,0.901,1.35,12.4,130,27.1,2459136.772,848,0.425,2.61
