des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2014 GQ17,(2014 GQ17),True,False,3667048,,0.247,0.854,0.643,0.0915,79.3,331,304,2459245.717,288,1.25,1.06
2016 CK137,(2016 CK137),True,False,3742881,,0.346,1.17,0.767,0.793,315,95.4,345,2459219.703,464,0.776,1.58
2008 EM68,(2008 EM68),True,False,3405336,,0.576,1.54,0.651,4.76,351,267,332,2454586.739,696,0.518,2.42
2020 UL3,(2020 UL3),True,False,54075983,,0.324,1.21,0.819,10.4,51.7,71.7,347,2459218.576,488,0.738,1.61
2013 FU13,(2013 FU13),True,False,3633185,,0.426,1.73,0.993,0.761,177,349,151,2458851.161,830,0.434,2.46
2012 TV,(2012 TV),True,False,3609661,,0.572,1.5,0.643,5.54,193,270,134,2458950.334,673,0.535,2.36
2020 UO4,(2020 UO4),True,False,54076022,,0.092,0.973,0.883,1.45,212,64.6,160,2459044.457,350,1.03,1.06
2008 CT1,(2008 CT1),True,False,3401433,,0.456,0.891,0.484,0.371,138,126,280,2454568.457,307,1.17,1.3
2020 BY1,(2020 BY1),True,False,3986776,,0.638,2.03,0.737,4.65,298,108,128,2458822.624,1060,0.34,3.33
1991 BA,(1991 BA),True,False,3092104,,0.673,2.19,0.715,1.94,119,70.7,347,2448317.758,1180,0.305,3.66
2009 RR,(2009 RR),True,False,3467062,,0.465,1.4,0.75,6.07,174,257,327,2455143.581,605,0.595,2.05
2012 BL14,(2012 BL14),True,False,3596044,,0.654,1.72,0.597,6.83,120,270,21.1,2455898.948,827,0.436,2.85
2017 DC120,(2017 DC120),True,False,3771594,,0.451,2.05,1.12,3.4,278,200,14.7,2457770.718,1070,0.336,2.97
2021 AX6,(2021 AX6),True,False,54105994,,0.317,0.783,0.535,3.27,99.5,205,122,2459114.586,253,1.42,1.03
2009 BF58,(2009 BF58),True,False,3445071,,0.378,1.51,0.941,0.985,303,145,158,2458902.531,679,0.53,2.08
2006 HX57,(2006 HX57),True,False,3331095,,0.495,1.81,0.913,0.197,111,160,350,2459225.450,888,0.405,2.7
2009 CZ1,(2009 CZ1),True,False,3445628,,0.66,2.25,0.766,2.2,150,66.2,344,2454921.191,1230,0.292,3.74
2018 VA8,(2018 VA8),True,False,3836205,,0.4,1.36,0.815,8.33,227,111,149,2458960.535,578,0.623,1.9
2021 AB4,(2021 AB4),True,False,54105101,,0.299,1.34,0.94,2.83,288,143,6.02,2459191.025,567,0.635,1.74
2011 KF36,(2011 KF36),True,False,3567971,,0.65,2.12,0.744,25.7,214,80.1,343,2455765.857,1130,0.319,3.5
2021 EO2,(2021 EO2),True,False,54130761,,0.334,1.46,0.975,0.133,212,354,296,2459315.061,647,0.556,1.95
2011 FQ6,(2011 FQ6),True,False,3560079,,0.352,0.98,0.635,5.16,183,246,85.8,2459116.032,354,1.02,1.32
2019 UT,(2019 UT),True,False,3879243,,0.556,2.01,0.89,3.47,212,222,348,2458812.425,1040,0.347,3.12
2018 FE4,(2018 FE4),True,False,3802068,,0.605,1.65,0.65,19.2,184,92.4,335,2458258.174,772,0.466,2.64
2017 RZ15,(2017 RZ15),True,False,3781461,,0.257,0.958,0.712,2.04,162,62.4,272,2459283.951,342,1.05,1.2
2017 AB21,(2017 AB21),True,True,3766655,,0.517,1.75,0.846,10.6,28.4,312,66.3,2457601.733,846,0.426,2.66
2018 HW1,(2018 HW1),True,False,3819564,,0.136,1.1,0.948,6.87,32.1,121,157,2459017.041,420,0.857,1.25
2017 OE7,(2017 OE7),True,False,3778542,,0.281,1.4,1.01,0.654,308,18.4,5.14,2459191.861,605,0.595,1.79
2017 QF3,(2017 QF3),True,False,3780793,,0.439,1.24,0.699,2.5,148,273,314,2458048.596,507,0.71,1.79
2010 UB,(2010 UB),True,False,3549566,,0.519,2.06,0.99,3.39,215,199,352,2455511.903,1080,0.334,3.13
2016 NK22,(2016 NK22),True,False,3755191,,0.353,1.5,0.969,2.71,111,213,135,2458949.524,669,0.538,2.03
2018 GG,(2018 GG),True,False,3802394,,0.605,2.18,0.858,7.17,23,229,290,2459428.406,1170,0.307,3.49
2020 ED,(2020 ED),True,False,54013538,,0.524,2.05,0.977,1.11,27.2,167,352,2458938.108,1070,0.335,3.13
2017 UL7,(2017 UL7),True,False,3788081,,0.663,2.22,0.748,2.49,181,290,341,2458108.814,1210,0.297,3.7
2019 AW2,(2019 AW2),True,False,3837609,,0.582,2.01,0.84,8.81,96.6,307,262,2459483.681,1040,0.346,3.18
2021 EC4,(2021 EC4),True,False,54131391,,0.502,0.95,0.473,7.32,1.66,304,185,2459364.895,338,1.06,1.43
2012 LJ,(2012 LJ),True,False,3605539,,0.699,2.33,0.7,0.688,239,96.3,133,2458723.114,1300,0.278,3.95
2012 WS3,(2012 WS3),True,False,3618405,,0.279,1.11,0.801,3.87,241,86.3,20,2459176.735,428,0.842,1.42
2013 RS43,(2013 RS43),True,False,3648002,,0.334,1.46,0.972,0.936,359,24.5,30.2,2459146.547,644,0.559,1.95
2016 CD30,(2016 CD30),True,False,3741974,,0.497,1.77,0.891,5.86,132,314,17.5,2457385.762,860,0.419,2.65
2020 UT4,(2020 UT4),True,False,54076351,,0.551,1.12,0.504,0.487,217,58.8,49.1,2459087.125,435,0.827,1.74
2010 UH,(2010 UH),True,False,3549638,,0.308,1.36,0.943,0.631,295,40.1,28.2,2455444.936,581,0.62,1.78
2007 YM,(2007 YM),True,False,3398093,,0.617,2.58,0.989,0.991,59.7,11.3,2.62,2454440.462,1520,0.237,4.18
2018 WH,(2018 WH),True,False,3836268,,0.276,1.21,0.877,1.89,235,117,240,2459363.461,487,0.739,1.55
2008 LE,(2008 LE),True,False,3413111,,0.269,1.45,1.06,1.94,201,32.8,9.88,2454602.016,637,0.565,1.84
2020 SW5,(2020 SW5),True,False,54054688,,0.593,1.87,0.762,1.71,42.8,246,26.1,2459068.585,937,0.384,2.99
2020 HB3,(2020 HB3),True,False,54016644,,0.408,1.52,0.897,11.3,43.8,231,333,2459011.118,682,0.528,2.13
2012 BK14,(2012 BK14),True,False,3596043,,0.184,0.978,0.799,1.46,119,253,87.6,2455861.466,353,1.02,1.16
2014 MO68,(2014 MO68),True,False,3675146,,0.603,2.4,0.951,2.58,318,22.2,345,2456889.142,1350,0.266,3.84
2017 FB1,(2017 FB1),True,False,3771610,,0.74,2.12,0.551,5.11,349,80.5,95.1,2458902.577,1130,0.319,3.69
2020 YB1,(2020 YB1),True,False,54100906,,0.382,1.19,0.733,7.1,274,265,311,2459264.222,471,0.764,1.64
2011 AY22,(2011 AY22),True,False,3555153,,0.602,2.13,0.847,0.464,308,218,348,2455611.866,1130,0.318,3.41
2012 BU1,(2012 BU1),True,False,3595925,,0.443,1.61,0.9,0.425,294,134,144,2458901.980,749,0.481,2.33
2020 XG,(2020 XG),True,False,54097868,,0.364,0.92,0.585,1.24,256,52.6,98.1,2459112.593,322,1.12,1.26
2010 UY7,(2010 UY7),True,False,3550089,,0.15,0.897,0.762,0.457,40.1,210,109,2459106.767,310,1.16,1.03
2020 FK6,(2020 FK6),True,False,54016406,,0.442,1.15,0.644,6.76,352,80.8,50.9,2458860.519,453,0.796,1.66
2006 UU17,(2006 UU17),True,False,3352551,,0.584,2.34,0.971,2.89,209,151,6.4,2454007.330,1300,0.276,3.7
2009 HW67,(2009 HW67),True,False,3459084,,0.751,2.05,0.51,2.35,216,260,16.8,2454899.586,1070,0.336,3.59
2015 FA345,(2015 FA345),True,False,3717071,,0.582,2.36,0.99,4.7,358,157,7.2,2457077.947,1330,0.271,3.74
2011 BF40,(2011 BF40),True,False,3555911,,0.727,2.81,0.765,5.52,301,264,350,2455641.465,1720,0.21,4.84
2014 QC391,(2014 QC391),True,False,3685633,,0.402,1.58,0.945,2.09,345,36.7,342,2456938.060,726,0.496,2.22
2015 DQ224,(2015 DQ224),True,False,3717069,,0.527,0.779,0.369,11,149,215,96,2457005.485,251,1.43,1.19
2016 JB18,(2016 JB18),True,False,3753073,,0.149,1.12,0.956,1.89,208,305,13,2459184.767,435,0.828,1.29
2017 YO5,(2017 YO5),True,False,3795088,,0.459,1.8,0.974,5.83,91.8,345,89.7,2458980.813,882,0.408,2.62
2017 UJ43,(2017 UJ43),True,False,3788146,,0.265,1.17,0.86,2.9,45.1,67.3,123,2459042.584,462,0.779,1.48
2021 CH3,(2021 CH3),True,False,54111245,,0.511,1.39,0.68,11.7,305,88,14.5,2459176.386,599,0.601,2.1
2006 SC,(2006 SC),True,False,3342249,,0.35,1.11,0.723,10.4,351,265,107,2459072.517,429,0.839,1.5
2019 FA,(2019 FA),True,False,3840117,,0.299,1.34,0.941,1.1,174,320,68.2,2459092.813,568,0.634,1.74
2019 YV1,(2019 YV1),True,False,3943360,,0.115,1.02,0.9,8.66,88.2,274,60.1,2459138.004,374,0.961,1.13
2011 AK37,(2011 AK37),True,False,3555203,,0.66,2.84,0.964,3.62,119,322,30.4,2459053.264,1750,0.206,4.71
2012 VS76,(2012 VS76),True,False,3617713,,0.386,0.991,0.608,0.806,242,284,1.32,2459199.182,360,0.999,1.37
2018 BN6,(2018 BN6),True,False,3798973,,0.344,1.11,0.73,2.1,300,93.4,220,2459366.945,429,0.84,1.49
443104,443104 (2013 XK22),True,False,2443104,,0.203,1.05,0.833,6.99,268,266,133,2459056.566,391,0.922,1.26
2013 NH6,(2013 NH6),True,False,3644732,,0.587,1.24,0.514,24.2,98.4,69.9,48.4,2456415.269,507,0.71,1.98
2017 VJ,(2017 VJ),True,False,3789071,,0.4,1.33,0.799,4.48,218,107,46.6,2459127.883,561,0.642,1.86
2020 KU,(2020 KU),True,False,54017087,,0.26,1.29,0.955,6.63,63.1,223,114,2459030.926,536,0.672,1.63
2017 YO3,(2017 YO3),True,False,3795027,,0.349,0.753,0.49,8.65,268,19.5,353,2459204.886,238,1.51,1.02
2017 FN1,(2017 FN1),True,False,3771621,,0.578,1.47,0.619,2.25,0.441,272,10.1,2459182.314,649,0.555,2.31
2020 KC5,(2020 KC5),True,False,54017251,,0.516,2.02,0.979,4.62,70.3,204,61.8,2459020.359,1050,0.343,3.06
2020 YK3,(2020 YK3),True,False,54101721,,0.221,0.82,0.639,2.56,103,169,169,2459073.056,271,1.33,1
2009 WR52,(2009 WR52),True,False,3478352,,0.155,1.03,0.873,4.24,61,270,263,2459304.230,384,0.938,1.19
2011 DS,(2011 DS),True,False,3557829,,0.229,1.04,0.798,0.277,346,71.4,185,2459387.665,385,0.936,1.27
2017 MZ8,(2017 MZ8),True,False,3776291,,0.602,2.31,0.918,4.51,21.3,337,341,2457994.849,1280,0.281,3.7
2015 EO,(2015 EO),True,False,3712944,,0.462,1.3,0.698,4.6,350,271,320,2457152.383,540,0.667,1.9
2016 SK2,(2016 SK2),True,False,3759750,,0.394,1.36,0.825,15.5,355,291,274,2459338.189,580,0.621,1.9
2020 AW,(2020 AW),True,False,3972422,,0.234,0.808,0.619,0.357,321,316,301,2459243.749,265,1.36,0.997
2016 SA2,(2016 SA2),True,False,3759724,,0.185,1.18,0.959,4.76,183,135,144,2459014.427,466,0.772,1.39
2007 XZ9,(2007 XZ9),True,False,3397573,,0.586,2.04,0.845,3.04,248,126,15.3,2454398.251,1070,0.338,3.24
2010 HP20,(2010 HP20),True,False,3518217,,0.535,2,0.927,7.72,209,321,10.8,2455275.533,1030,0.349,3.07
2011 DV10,(2011 DV10),True,False,3558194,,0.689,2.85,0.886,8.1,160,293,11,2455567.932,1750,0.205,4.81
2020 WN5,(2020 WN5),True,False,54096684,,0.377,1.17,0.731,0.171,256,66.6,49.7,2459106.414,464,0.776,1.61
2019 DX,(2019 DX),True,False,3838850,,0.534,1.83,0.855,1.17,346,230,343,2458584.460,907,0.397,2.81
2019 JR2,(2019 JR2),True,False,3841753,,0.445,1.27,0.708,8.31,40.7,90.6,87.8,2459072.297,526,0.685,1.84
2017 HG4,(2017 HG4),True,False,3774114,,0.187,0.862,0.701,2.98,211,205,350,2459209.016,292,1.23,1.02
2007 UD6,(2007 UD6),True,False,3389466,,0.242,1.23,0.933,1.69,206,132,255,2459345.450,499,0.722,1.53
2005 SO1,(2005 SO1),True,False,3291099,,0.577,2.17,0.916,5.24,359,316,290,2459428.205,1160,0.309,3.42
2016 CY135,(2016 CY135),True,False,3742333,,0.353,1.48,0.954,1.1,173,26.5,223,2459448.920,654,0.55,2
2018 BL11,(2018 BL11),True,False,3799660,,0.495,1.68,0.846,2.07,302,123,140,2458892.711,792,0.454,2.51
2019 GD4,(2019 GD4),True,False,3840858,,0.467,1.8,0.959,0.381,320,198,267,2459429.180,881,0.409,2.64
2018 RB2,(2018 RB2),True,False,3827318,,0.326,1.38,0.93,9.22,343,312,172,2458918.549,591,0.609,1.83
2008 EV84,(2008 EV84),True,False,3406023,,0.61,2.53,0.988,13,350,206,355,2454557.577,1470,0.245,4.07
2011 TO,(2011 TO),True,False,3580964,,0.28,0.927,0.667,2.24,185,57.6,216,2459330.527,326,1.1,1.19
2015 MN11,(2015 MN11),True,False,3721409,,0.705,2.04,0.601,5.71,279,85.3,342,2457246.416,1070,0.338,3.48
2020 UX4,(2020 UX4),True,False,54076355,,0.464,1.82,0.973,0.528,156,204,31.7,2459121.712,894,0.403,2.66
2017 AA21,(2017 AA21),True,False,3766654,,0.478,1.92,1,2.33,331,174,346,2457794.485,973,0.37,2.84
2006 WV29,(2006 WV29),True,False,3360541,,0.559,1.38,0.609,1.2,75.3,82,327,2454118.248,592,0.608,2.15
2009 HC,(2009 HC),True,False,3457386,,0.126,1.04,0.909,3.78,204,270,83.6,2459110.596,387,0.93,1.17
2019 NO2,(2019 NO2),True,False,3843140,,0.577,2.36,0.998,1.47,101,159,150,2458651.084,1320,0.273,3.71
2020 LV,(2020 LV),True,False,54017418,,0.153,0.915,0.775,5.51,91.9,319,73.4,2459135.299,320,1.13,1.06
2005 TH50,(2005 TH50),True,False,3293923,,0.226,0.837,0.648,0.734,197,18.2,154,2453535.061,280,1.29,1.03
2006 WZ184,(2006 WZ184),True,False,3363228,,0.328,1.37,0.918,0.846,249,128,312,2459277.780,583,0.618,1.81
2013 RO30,(2013 RO30),True,False,3647671,,0.489,1.93,0.984,8.34,162,156,7.57,2456520.977,977,0.369,2.87
2016 GK2,(2016 GK2),True,False,3749031,,0.431,1.56,0.889,0.933,7.67,127,171,2458861.938,714,0.505,2.24
2017 UC52,(2017 UC52),True,False,3789435,,0.658,2.52,0.861,3.55,73.8,34.7,346,2458110.823,1460,0.247,4.17
2020 VO1,(2020 VO1),True,False,54087577,,0.235,1.04,0.797,3.37,226,87.1,102,2459090.348,388,0.928,1.29
2009 TU,(2009 TU),True,False,3471219,,0.559,1.73,0.761,1.56,199,106,357,2459206.396,828,0.435,2.69
2021 FU,(2021 FU),True,False,54132077,,0.59,2.41,0.988,0.134,160,42.9,330,2459312.855,1370,0.263,3.83
2015 TG24,(2015 TG24),True,False,3729233,,0.443,0.746,0.415,3.99,22,151,248,2459274.022,236,1.53,1.08
2011 CF66,(2011 CF66),True,False,3557545,,0.311,1.02,0.702,0.957,340,274,286,2455682.904,375,0.959,1.33
2014 JV79,(2014 JV79),True,False,3698570,,0.136,1.08,0.933,16.4,233,114,254,2456904.333,410,0.878,1.23
2011 BP40,(2011 BP40),True,False,3556018,,0.154,1.12,0.95,0.915,165,236,74.8,2455503.184,435,0.828,1.3
2014 OM207,(2014 OM207),True,False,3676117,,0.584,2.43,1.01,2.25,123,169,3.24,2456855.026,1380,0.26,3.85
2018 EB4,(2018 EB4),True,False,3799881,,0.619,2.32,0.885,1.46,3.02,218,272,2459517.955,1290,0.279,3.76
2004 VZ14,(2004 VZ14),True,False,3261769,,0.527,1.53,0.726,4.58,41.6,280,29.9,2453260.881,694,0.519,2.34
2021 EA,(2021 EA),True,False,54128184,,0.343,1.33,0.872,6.46,342,238,282,2459321.300,559,0.644,1.78
2007 PR25,(2007 PR25),True,True,3381347,,0.848,1.96,0.298,3.5,155,291,343,2454376.544,1000,0.359,3.63
2006 BM8,(2006 BM8),True,False,3313736,,0.531,1.54,0.724,5.2,122,282,28.6,2453707.824,700,0.514,2.36
2020 WD,(2020 WD),True,False,54088803,,0.38,1.59,0.984,0.614,202,187,25.9,2459147.908,730,0.493,2.19
2007 EO88,(2007 EO88),True,False,3371143,,0.337,1.13,0.751,5.93,356,270,103,2459075.084,440,0.817,1.52
2013 GA55,(2013 GA55),True,False,3634440,,0.455,1.65,0.896,0.475,207,299,20.1,2456349.396,771,0.467,2.4
2009 TB,(2009 TB),True,False,3470497,,0.66,2.56,0.871,8.2,7.99,312,8.27,2455072.054,1500,0.24,4.26
2016 RP41,(2016 RP41),True,False,3759692,,0.331,1.93,1.29,4.27,319,44.1,356,2457656.380,979,0.368,2.57
2017 UE52,(2017 UE52),True,False,3789437,,0.341,1.94,1.28,2.33,32.4,357,6,2458038.981,991,0.363,2.61
2017 WL15,(2017 WL15),True,False,3789684,,0.416,1.23,0.716,25.2,240,89.7,46,2458019.169,496,0.726,1.74
2020 TF6,(2020 TF6),True,False,54065914,,0.513,1.65,0.804,3.52,207,243,6.36,2459186.812,775,0.464,2.5
2009 JL2,(2009 JL2),True,False,3459796,,0.472,1.85,0.98,17.8,52.9,205,205,2459597.925,923,0.39,2.73
2012 PB20,(2012 PB20),True,False,3607530,,0.0948,1.05,0.954,5.84,143,50,16.4,2459182.496,395,0.911,1.15
2020 DO2,(2020 DO2),True,False,3991752,,0.715,1.83,0.521,9.97,144,260,23.7,2458844.084,901,0.4,3.13
2018 EE9,(2018 EE9),True,False,3802042,,0.652,2.18,0.757,1.22,173,287,16.1,2458143.048,1170,0.307,3.6
2013 BR27,(2013 BR27),True,False,3625071,,0.46,1.55,0.838,2.57,297,121,28,2456266.632,706,0.51,2.26
2015 ET,(2015 ET),True,False,3712984,,0.579,2.03,0.855,0.599,354,124,8.55,2459175.343,1060,0.34,3.21
2021 EO,(2021 EO),True,False,54129173,,0.476,1.88,0.983,3.71,357,194,322,2459300.628,938,0.384,2.77
2020 FZ2,(2020 FZ2),True,False,54016309,,0.713,1.9,0.547,2.13,11.5,269,341,2458983.726,960,0.375,3.26
2020 AO1,(2020 AO1),True,False,3976531,,0.628,1.91,0.712,4.19,295,252,340,2458905.855,966,0.373,3.11
2019 SC,(2019 SC),True,False,3843868,,0.658,2.53,0.864,0.444,172,234,103,2458781.264,1470,0.245,4.2
2021 FM2,(2021 FM2),True,False,54132439,,0.443,1.47,0.82,1.73,181,294,334,2459247.733,653,0.552,2.13
2011 UU190,(2011 UU190),True,False,54049915,,0.0337,1.04,1,0.205,25.6,31.9,334,2455885.888,385,0.934,1.07
2007 TL16,(2007 TL16),True,False,3387616,,0.4,1.46,0.876,10.5,12.9,304,194,2459498.568,645,0.558,2.05
2009 HS44,(2009 HS44),True,False,3458578,,0.702,2.57,0.768,2.44,209,73.2,286,2459508.808,1510,0.239,4.38
2014 GY44,(2014 GY44),True,False,3667132,,0.391,1.19,0.724,10.2,189,272,111,2459053.952,473,0.76,1.65
2016 EM156,(2016 EM156),True,False,3746628,,0.515,1.97,0.958,2,0.732,203,249,2459512.399,1010,0.355,2.99
2017 HJ61,(2017 HJ61),True,False,3775117,,0.57,1.83,0.789,0.785,213,294,19.7,2457821.945,908,0.397,2.88
2016 NP56,(2016 NP56),True,False,3759678,,0.047,1.03,0.986,4.52,118,274,260,2457685.272,384,0.937,1.08
2019 BZ,(2019 BZ),True,False,3837949,,0.272,1.09,0.792,6.74,305,92.2,298,2459271.623,414,0.87,1.38
2020 UK2,(2020 UK2),True,False,54075579,,0.553,2.22,0.993,1.14,20.4,350,21.4,2459128.676,1210,0.298,3.45
2014 SR261,(2014 SR261),True,False,3691154,,0.585,1.88,0.779,0.387,183,105,21.4,2456874.635,939,0.383,2.98
2019 AH3,(2019 AH3),True,False,3837610,,0.565,1.23,0.535,3.9,285,285,115,2459041.456,498,0.723,1.92
2017 WF30,(2017 WF30),True,False,3796297,,0.453,1.55,0.851,2.26,261,229,335,2458134.699,708,0.509,2.26
2010 TW54,(2010 TW54),True,False,3548666,,0.234,1.04,0.799,3.85,196,86,269,2459298.660,389,0.925,1.29
2012 BA102,(2012 BA102),True,False,3596962,,0.396,1.55,0.935,2.37,307,143,18.1,2455924.134,703,0.512,2.16
2017 RC,(2017 RC),True,False,3781319,,0.419,1.54,0.897,1.51,337,306,280,2459355.934,701,0.514,2.19
2016 CG18,(2016 CG18),True,False,3741152,,0.0922,0.983,0.892,5.7,317,277,270,2459289.764,356,1.01,1.07
2020 BJ14,(2020 BJ14),True,False,3989332,,0.706,2.8,0.824,2.66,104,330,75.5,2458841.977,1710,0.211,4.77
2021 CN5,(2021 CN5),True,False,54115824,,0.492,1.1,0.557,5.62,326,288,259,2459318.197,419,0.859,1.64
2020 RJ2,(2020 RJ2),True,False,54053826,,0.245,1.32,0.997,0.241,222,154,46.4,2459128.964,555,0.649,1.65
2016 LG10,(2016 LG10),True,False,3753858,,0.462,1.79,0.96,4.67,255,324,336,2459257.803,871,0.413,2.61
2017 SC33,(2017 SC33),True,False,3785709,,0.32,1.08,0.732,16.3,318,205,213,2458188.086,408,0.882,1.42
2007 UN12,(2007 UN12),True,False,3390109,,0.0589,1.05,0.987,0.234,215,138,90.5,2459101.773,393,0.917,1.11
2009 TD17,(2009 TD17),True,False,3471976,,0.22,1.13,0.879,0.0787,218,83.2,178,2458984.238,437,0.824,1.37
2010 VO139,(2010 VO139),True,False,3551478,,0.703,2.07,0.614,7.72,231,91.2,16.4,2455464.935,1090,0.331,3.53
2012 XM16,(2012 XM16),True,False,3619462,,0.633,2.36,0.866,2.19,91.1,41.3,64,2458964.633,1330,0.271,3.86
2019 RT3,(2019 RT3),True,False,3843850,,0.451,1.81,0.991,4.6,348,340,195,2459608.240,887,0.406,2.62
2019 TK5,(2019 TK5),True,False,3878618,,0.2,1.02,0.817,1.5,215,265,335,2459227.188,377,0.955,1.23
2013 WZ44,(2013 WZ44),True,False,3653920,,0.463,1.61,0.863,11.5,243,126,187,2459558.612,744,0.484,2.35
2019 BU1,(2019 BU1),True,False,3837980,,0.573,1.84,0.786,5.42,122,296,291,2459376.208,913,0.394,2.9
2014 FX32,(2014 FX32),True,False,3666540,,0.482,1.78,0.923,3.78,172,321,316,2459307.753,870,0.414,2.64
2017 YV8,(2017 YV8),True,False,3796304,,0.257,0.898,0.667,3.11,268,51.9,287,2459263.503,311,1.16,1.13
2014 WA,(2014 WA),True,False,3696153,,0.54,2.04,0.941,4.82,53.8,32.2,20.5,2459139.598,1070,0.337,3.15
2015 TL21,(2015 TL21),True,False,3729138,,0.677,2.6,0.841,0.569,220,98,94.4,2458798.268,1530,0.235,4.37
2007 YS56,(2007 YS56),True,False,3398654,,0.284,0.943,0.675,6.24,275,63.7,149,2459062.001,334,1.08,1.21
2008 YV32,(2008 YV32),True,False,3443805,,0.411,1.52,0.894,1.06,115,40.1,337,2454876.386,684,0.526,2.14
2009 VZ39,(2009 VZ39),True,False,3476526,,0.38,1.48,0.916,2.49,52.6,40.8,340,2455182.587,655,0.549,2.04
2015 RD36,(2015 RD36),True,False,3727177,,0.925,2.54,0.191,0.443,17.9,194,120,2458707.369,1480,0.243,4.9
2017 DW119,(2017 DW119),True,False,3771595,,0.582,2.41,1.01,0.381,306,187,4.96,2457789.624,1370,0.263,3.82
2016 TQ18,(2016 TQ18),True,False,3760590,,0.601,2.5,0.996,3.6,7.07,339,28.4,2459086.794,1440,0.25,4
2018 BD,(2018 BD),True,False,3797701,,0.287,1.06,0.752,2.38,298,274,188,2459389.347,396,0.909,1.36
2008 DA4,(2008 DA4),True,False,3404128,,0.624,2.43,0.913,4.22,146,318,151,2458621.088,1380,0.26,3.95
2015 BE511,(2015 BE511),True,False,3709136,,0.63,2.61,0.965,0.364,126,333,150,2458559.781,1540,0.234,4.25
2021 CC7,(2021 CC7),True,False,54117577,,0.0404,1.03,0.985,7.33,144,29.2,278,2459286.808,380,0.948,1.07
2001 SB170,(2001 SB170),True,False,3092333,,0.464,1.36,0.73,34.5,357,261,49.7,2452098.486,580,0.621,1.99
2021 EF3,(2021 EF3),True,False,54131323,,0.224,1.27,0.983,1.91,165,339,318,2459260.872,521,0.692,1.55
2019 UL,(2019 UL),True,False,3879228,,0.207,0.833,0.661,1.35,17.4,197,356,2459203.360,278,1.3,1.01
2018 SD2,(2018 SD2),True,False,3830882,,0.111,0.93,0.827,3.68,1.8,138,44.9,2459159.635,328,1.1,1.03
2009 TM8,(2009 TM8),True,False,3471520,,0.406,1.55,0.922,2.49,205,221,251,2459414.001,706,0.51,2.18
2007 TX22,(2007 TX22),True,False,3388076,,0.435,1.59,0.899,1.77,20.3,46,341,2454422.968,734,0.49,2.29
2010 CS19,(2010 CS19),True,False,3508125,,0.441,1.74,0.972,4.18,144,341,268,2459414.852,838,0.43,2.51
2012 CL17,(2012 CL17),True,False,3598900,,0.704,1.86,0.549,4.39,321,81.2,20.1,2455916.919,923,0.39,3.16
2011 WN69,(2011 WN69),True,False,3589544,,0.78,2.52,0.553,6.04,243,89.5,11.4,2455847.314,1460,0.247,4.48
2013 HT14,(2013 HT14),True,False,3635121,,0.719,2.1,0.588,5.8,30.8,87.7,17.7,2456353.924,1110,0.325,3.6
2021 ER,(2021 ER),True,False,54130036,,0.144,0.897,0.767,5.73,163,218,42.7,2459163.711,310,1.16,1.03
2021 FC1,(2021 FC1),True,False,54132111,,0.649,2.86,1,13.5,181,338,345,2459276.348,1760,0.204,4.71
2007 VH189,(2007 VH189),True,False,3394752,,0.721,2.6,0.725,5.87,75.5,250,14.6,2454359.122,1530,0.235,4.48
2017 UP43,(2017 UP43),True,False,3788150,,0.333,1.38,0.918,3.92,35.5,312,3.35,2459195.011,589,0.611,1.83
2017 DA120,(2017 DA120),True,False,3771592,,0.41,1.3,0.769,23.9,350,335,198,2458053.632,543,0.662,1.84
2006 SF281,(2006 SF281),True,False,3347507,,0.264,1.34,0.985,3.03,9.85,31.2,341,2454038.842,565,0.637,1.69
2021 DG,(2021 DG),True,False,54122969,,0.384,1.09,0.672,8.52,330,278,251,2459327.044,416,0.865,1.51
2016 AZ193,(2016 AZ193),True,False,3740852,,0.259,0.927,0.687,0.317,136,193,105,2457295.199,326,1.1,1.17
2020 BB5,(2020 BB5),True,False,3989084,,0.382,1.41,0.87,0.875,306,120,219,2459439.259,611,0.59,1.95
2020 QJ5,(2020 QJ5),True,False,54051383,,0.588,2.36,0.974,1.23,145,149,8.52,2459053.144,1320,0.272,3.75
2002 UV36,(2002 UV36),True,False,3141528,,0.599,2.45,0.985,2.87,32.6,356,255,2459608.599,1400,0.256,3.92
2020 TO2,(2020 TO2),True,False,54055087,,0.494,1.59,0.804,6.54,204,244,8.68,2459182.856,731,0.492,2.37
2001 UD5,(2001 UD5),True,False,3092398,,0.666,2.28,0.761,2.53,19,290,17.9,2452146.024,1260,0.286,3.8
2016 AB166,(2016 AB166),True,False,3740101,,0.639,1.52,0.548,16.4,112,261,254,2459401.343,684,0.527,2.49
2019 CJ4,(2019 CJ4),True,False,3838249,,0.38,1.2,0.746,3.24,327,86.1,192,2459425.882,482,0.747,1.66
2005 TA,(2005 TA),True,False,3292015,,0.251,1.28,0.96,2.78,13.9,34.6,153,2458974.844,530,0.679,1.6
2006 SR131,(2006 SR131),True,False,3345302,,0.339,1.36,0.898,0.637,185,122,41.1,2459134.452,579,0.622,1.82
2007 DC,(2007 DC),True,False,3368403,,0.326,1.35,0.913,0.41,175,278,30,2454102.461,576,0.625,1.8
2017 QM33,(2017 QM33),True,False,3781248,,0.633,1.94,0.712,2.4,335,279,18.9,2457942.665,989,0.364,3.17
2017 DG16,(2017 DG16),True,False,3769751,,0.316,1.39,0.95,3.4,336,213,102,2459031.139,597,0.603,1.83
