"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2019 YM)","2041-2117","2","8.7e-7","17.76","26.0","0.022","-6.63","-6.63","0","bK19Y00M"
"(2021 FE2)","2100-2100","1","3.7e-6","10.39","27.0","0.014","-6.63","-6.63","0","bK21F02E"
"(2008 OO1)","2107-2107","1","2.3e-7","12.96","24.6","0.041","-6.64","-6.64","0","bK08O01O"
"(2020 PU3)","2096-2120","14","4.0e-6","9.54","26.8","0.015","-6.64","-6.89","0","bK20P03U"
"(2008 XK)","2021-2101","86","4.1e-7","12.06","27.2","0.012","-6.65","-6.82","0","bK08X00K"
"(2015 WP2)","2080-2116","22","7.6e-5","12.62","30.1","0.003","-6.65","-7.03","0","bK15W02P"
"(2018 QE)","2036-2117","13","1.1e-5","4.18","27.8","0.009","-6.65","-7.20","0","bK18Q00E"
"(2021 FT1)","2097-2097","1","1.1e-7","19.40","24.4","0.044","-6.65","-6.65","0","bK21F01T"
"(2008 BC15)","2072-2094","2","9.2e-7","20.66","26.6","0.016","-6.66","-6.89","0","bK08B15C"
"(2010 JH80)","2082-2082","1","6.3e-8","26.90","24.5","0.042","-6.66","-6.66","0","bK10J80H"
"(2013 TV132)","2099-2115","6","2.6e-6","9.16","26.5","0.017","-6.66","-7.03","0","bK13TD2V"
"(2019 NF7)","2072-2080","2","9.6e-6","9.27","28.1","0.008","-6.66","-6.67","0","bK19N07F"
"(2018 VP6)","2088-2088","2","3.1e-6","12.06","27.2","0.013","-6.67","-6.90","0","bK18V06P"
"(2019 PG)","2115-2115","1","1.1e-6","7.19","25.6","0.026","-6.67","-6.67","0","bK19P00G"
"(2014 MB6)","2052-2075","2","8.1e-7","13.07","26.2","0.019","-6.68","-6.68","0","bK14M06B"
"(2006 WM3)","2113-2113","1","5.8e-8","10.41","23.2","0.078","-6.68","-6.68","0","bK06W03M"
"(1993 UA)","2111-2111","2","7.1e-7","9.40","25.4","0.028","-6.69","-6.85","0","bJ93U00A"
"(1997 TC25)","2096-2096","1","2.6e-7","9.89","24.7","0.039","-6.69","-6.69","0","bJ97T25C"
"(2006 BF56)","2092-2117","19","2.3e-5","26.15","29.6","0.004","-6.69","-7.20","0","bK06B56F"
"(2019 PO1)","2084-2117","16","1.5e-5","1.96","27.9","0.009","-6.69","-7.19","0","bK19P01O"
"(2017 RP16)","2065-2112","10","3.5e-6","10.33","27.2","0.012","-6.69","-7.07","0","bK17R16P"
"(2020 PC)","2074-2074","1","1.1e-5","1.46","28.0","0.009","-6.69","-6.69","0","bK20P00C"
"(2005 UL6)","2068-2068","2","1.1e-7","12.04","24.5","0.042","-6.70","-6.90","0","bK05U06L"
"(2012 BP123)","2021-2117","306","1.3e-6","4.85","27.1","0.013","-6.70","-7.31","0","bK12BC3P"
"(2015 HQ182)","2024-2114","187","1.5e-7","6.62","25.0","0.034","-6.70","-7.57","0","bK15HI2Q"
